category,severity,key,detail
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-22"",""endRunning"":126200953739,""endBalance"":126201000000,""diffSatoshi"":-46261,""diffXbt"":-0.00046261}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-19"",""endRunning"":153113029223,""endBalance"":153113000000,""diffSatoshi"":29223,""diffXbt"":0.00029223}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-13"",""endRunning"":127541015379,""endBalance"":127541000000,""diffSatoshi"":15379,""diffXbt"":0.00015379}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-18"",""endRunning"":152577989397,""endBalance"":152578000000,""diffSatoshi"":-10603,""diffXbt"":-0.00010603}"
wallet,medium,balance_continuity_day_end,"{""date"":""2021-06-12"",""endRunning"":127151002200,""endBalance"":127151000000,""diffSatoshi"":2200,""diffXbt"":0.000022}"
wallet,low,date_inversion,"{""file"":""aoa-wallet-2018-03-01-2021-12-31.csv"",""prevDate"":""2018-04-28"",""date"":""2018-04-27"",""type"":""Withdrawal""}"
wallet,low,date_inversion,"{""file"":""aoa-wallet-2018-03-01-2021-12-31.csv"",""prevDate"":""2019-12-31"",""date"":""2019-01-01"",""type"":""RealisedPNL""}"
wallet,low,date_inversion,"{""file"":""aoa-wallet-2018-03-01-2021-12-31.csv"",""prevDate"":""2020-11-20"",""date"":""2020-01-01"",""type"":""RealisedPNL""}"
wallet,low,date_inversion,"{""file"":""aoa-wallet-2018-03-01-2021-12-31.csv"",""prevDate"":""2021-11-12"",""date"":""2021-10-27"",""type"":""RealisedPNL""}"
wallet,low,date_inversion,"{""file"":""aoa-wallet-2018-03-01-2021-12-31.csv"",""prevDate"":""2021-11-29"",""date"":""2021-01-01"",""type"":""RealisedPNL""}"
wallet,info,multi_balance_day,"{""date"":""2018-03-05"",""rows"":2,""distinctBalances"":2}"
wallet,info,multi_balance_day,"{""date"":""2018-03-12"",""rows"":2,""distinctBalances"":2}"
wallet,info,multi_balance_day,"{""date"":""2018-03-13"",""rows"":3,""distinctBalances"":3}"
wallet,info,multi_balance_day,"{""date"":""2018-03-14"",""rows"":2,""distinctBalances"":2}"
wallet,info,multi_balance_day,"{""date"":""2018-03-20"",""rows"":2,""distinctBalances"":2}"
wallet,info,multi_balance_day,"{""date"":""2018-03-22"",""rows"":2,""distinctBalances"":2}"
wallet,info,multi_balance_day,"{""date"":""2018-03-29"",""rows"":2,""distinctBalances"":2}"
wallet,info,multi_balance_day,"{""date"":""2018-03-30"",""rows"":4,""distinctBalances"":3}"
wallet,info,multi_balance_day,"{""date"":""2018-03-31"",""rows"":4,""distinctBalances"":2}"
wallet,info,multi_balance_day,"{""date"":""2018-04-03"",""rows"":3,""distinctBalances"":2}"
execution,info,text_flag,"Submission from www.bitmex.com = 1392332"
execution,info,text_flag,"Position Close from www.bitmex.com = 3050"
execution,info,text_flag,"Funding = 5368"
execution,info,text_flag,"Liquidation = 59"
execution,info,text_flag,"Settlement = 8"
execution,info,text_flag,"Triggered: Order stop price reached
Submission from www.bitmex.com = 4870"
execution,info,text_flag,"Amended orderQty: Amend from www.bitmex.com
Submission from www.bitmex.com = 160"
execution,info,text_flag,"Amended price: Amend from www.bitmex.com
Submission from www.bitmex.com = 38736"
